t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
31,-61.46187175,-60.36827634,-59.32804552,-58.30058019,-57.27530295,-56.25001071,-55.22427736,-54.19797776,-53.17102049,-52.14330442,-51.11470962,-50.08509198,-49.05427709,-48.0220523,-46.9881562,-45.95226461,-44.91397136,-43.87276163,-42.82797392,-41.77874414,-40.72391998,-39.66192251,-38.59050768,-37.50633126,-36.40414746,-35.27546469,-34.10690578,-32.88006089,-31.57719304,-30.19680016,-28.77231531,-27.37216109,-26.07074528,-24.9163158,-23.92318862,-23.082881,-22.3771457,-21.78592189,-21.29081505,-20.87614678,-20.52895856
32,-61.46111492,-60.3651807,-59.32394646,-58.29609514,-57.27060762,-56.24513271,-55.21920733,-54.19269723,-53.16550688,-52.13753139,-51.10864641,-50.07870248,-49.04751863,-48.01487402,-46.98049703,-45.94405041,-44.90511119,-43.86314242,-42.81745286,-41.7671373,-40.71098439,-39.64732605,-38.57377478,-37.48674017,-36.38054016,-35.2459433,-34.06851984,-32.82894681,-31.51000526,-30.11365896,-28.67909183,-27.27871757,-25.98601922,-24.84517102,-23.86671906,-23.04005915,-22.34613887,-21.76478537,-21.27777423,-20.86967754,-20.52778441
33,-61.46036775,-60.36210838,-59.31985888,-58.29161235,-57.26591103,-56.24025228,-55.21413432,-54.18741322,-53.15998923,-52.13175362,-51.1025776,-50.07230632,-49.04075214,-48.00768599,-46.97282585,-45.93582126,-44.8962321,-43.85349886,-42.80689983,-41.75548744,-40.6979891,-39.63264331,-38.55691035,-37.46693583,-36.35656865,-35.21579129,-34.02909612,-32.77633712,-31.44111954,-30.02927383,-28.58576343,-27.18642124,-25.90320052,-24.77609475,-23.81210049,-22.99872013,-22.31622868,-21.74439839,-21.26519224,-20.8634327,-20.52665027
34,-61.45962968,-60.35905874,-59.31578276,-58.28713194,-57.26121321,-56.23536944,-55.20905834,-54.18212573,-53.15446753,-52.1259711,-51.09650318,-50.06590346,-49.03397759,-48.00048816,-46.9651426,-45.92757704,-44.88733393,-43.84383071,-42.79631444,-41.74379393,-40.68493298,-39.61787207,-38.53990983,-37.44690879,-36.33221438,-35.18497722,-33.98859492,-32.72220978,-31.3705773,-29.94377021,-28.49248142,-27.09535698,-25.82227842,-24.70901523,-23.75924317,-22.95878187,-22.28735077,-21.72471595,-21.25304135,-20.85739876,-20.52555377
35,-61.45890021,-60.35603113,-59.31171809,-58.28265401,-57.25651422,-56.23048419,-55.20397937,-54.17683476,-53.14894176,-52.12018381,-51.09042312,-50.05949387,-49.02719495,-47.99328046,-46.9574472,-45.91931765,-44.87841652,-43.83413771,-42.7856963,-41.73205609,-40.6718148,-39.60300996,-38.52276837,-37.42664902,-36.30745791,-35.15346904,-33.94697787,-32.66654818,-31.2984281,-29.85727602,-28.3993876,-27.00559555,-25.74323442,-24.64386126,-23.70806237,-22.92016831,-22.25944605,-21.70569681,-21.24129625,-20.8515634,-20.52449274
36,-61.45817886,-60.35302495,-59.30766483,-58.27817865,-57.2518141,-56.22559656,-55.19889741,-54.17154029,-53.14341191,-52.11439174,-51.08433741,-50.05307754,-49.02040417,-47.98606285,-46.94973958,-45.91104297,-44.86947969,-43.82441963,-42.775045,-41.72027324,-40.65863332,-39.58805451,-38.50548084,-37.4061459,-36.28227895,-35.1212342,-33.90420827,-32.60934139,-31.22472908,-29.7699204,-28.30661381,-26.91719483,-25.66604379,-24.58056273,-23.65847821,-22.88280892,-22.23246009,-21.68730316,-21.2299337,-20.84591532,-20.52346518
37,-61.45746521,-60.3500396,-59.30362294,-58.27370595,-57.24711291,-56.22070654,-55.19381246,-54.16624231,-53.13787797,-52.10859487,-51.07824601,-50.04665443,-49.01360522,-47.97883528,-46.94201966,-45.9027529,-44.8605233,-43.81467619,-42.76436014,-41.70844466,-40.64538719,-39.57300308,-38.48804176,-37.38538819,-36.25665639,-35.08823985,-33.86025137,-32.55058428,-31.14954438,-29.68183246,-28.21428168,-26.83020097,-25.59067675,-24.51905103,-23.61041538,-22.8466382,-22.20634267,-21.6695002,-21.21893238,-20.84044415,-20.52246926
38,-61.45675887,-60.34707451,-59.29959238,-58.26923601,-57.2424107,-56.21581415,-55.18872452,-54.16094082,-53.13233994,-52.10279319,-51.07214892,-50.04022451,-49.00679805,-47.97159769,-46.93428736,-45.89444733,-44.85154717,-43.80490715,-42.75364127,-41.6965696,-40.63207504,-39.55785289,-38.47044532,-37.36436404,-36.23056831,-35.05445295,-33.81507464,-32.49027761,-31.07294444,-29.59314017,-28.12250248,-26.74464959,-25.51709952,-24.45925932,-23.56380291,-22.81159521,-22.1810474,-21.65225589,-21.20827266,-20.83514033,-20.52150329
39,-61.45605948,-60.34412913,-59.29557308,-58.2647689,-57.2377075,-56.21091941,-55.18363359,-54.15563581,-53.12679778,-52.09698667,-51.06604611,-50.03378775,-48.99998263,-47.96435002,-46.9265426,-45.88612614,-44.84255113,-43.79511223,-42.74288797,-41.6846473,-40.6186954,-39.54260098,-38.45268538,-37.34306097,-36.20399204,-35.01984046,-33.76864805,-32.4284281,-30.99500536,-29.50396932,-28.03137729,-26.66056688,-25.44527521,-24.40112278,-23.51857394,-22.77762327,-22.15653132,-21.63554062,-21.1979364,-20.82999505,-20.52056571
40,-61.45536672,-60.34120292,-59.29156499,-58.26030471,-57.23300338,-56.20602233,-55.17853965,-54.15032727,-53.12125151,-52.09117531,-51.05993755,-50.02734413,-48.99315892,-47.95709222,-46.91878531,-45.87778921,-44.83353501,-43.78529116,-42.73209977,-41.67267695,-40.60524675,-39.52724425,-38.4347554,-37.32146587,-36.17690421,-34.9843695,-33.7209443,-32.36504837,-30.91580813,-29.4144427,-27.94099712,-26.57797066,-25.37516463,-24.34457869,-23.47466545,-22.74466952,-22.13275461,-21.619327,-21.18790687,-20.82500014,-20.51965508
